"","OverallQual","GrLivArea","GarageCars","Neighborhood","ExterQual","X1stFlrSF","BsmtFinSF1","LotArea","X2ndFlrSF","KitchenQual","YearBuilt","FullBath","SalePrice"
"1068",5,893,2,"NAmes","TA",893,220,9600,0,"Gd",1949,1,135000
"1069",5,1048,1,"NAmes","TA",1048,586,10152,0,"TA",1956,1,135000
"1070",6,1556,2,"NWAmes","TA",829,298,11700,727,"TA",1968,1,154000
"1071",5,1456,1,"Edwards","TA",1002,0,7585,454,"TA",1948,1,91500
"1072",6,1426,2,"Edwards","TA",698,535,7950,728,"TA",1977,1,159500
"1081",7,1459,2,"CollgCr","Gd",1459,0,8749,0,"Gd",2002,2,192000
"1094",6,1314,2,"CollgCr","Gd",1314,24,9317,0,"Gd",2006,2,176432
"1098",7,1601,2,"NWAmes","TA",1601,704,11880,0,"TA",1978,2,157000
"1105",7,1442,2,"SawyerW","Gd",1442,738,10357,0,"Gd",1990,2,179900
"1109",6,1658,2,"Gilbert","TA",773,219,8000,885,"TA",1995,2,188000
"1110",7,1964,2,"NWAmes","TA",1098,403,10480,866,"TA",1976,2,205000
"1112",5,1008,1,"NAmes","TA",1008,643,8923,0,"Gd",1953,1,134500
"1116",5,894,2,"Sawyer","TA",894,702,9764,0,"Gd",1967,1,130000
"1117",5,1601,1,"Sawyer","TA",1021,0,13825,580,"TA",1958,1,140000
"1126",7,1530,3,"Gilbert","Gd",1530,1300,14572,0,"Gd",2004,2,259000
"1129",4,1981,2,"SWISU","TA",1328,622,7804,653,"Gd",1928,2,135000
"1131",6,2210,1,"OldTown","TA",1178,0,9900,1032,"Fa",1880,2,117500
"1135",6,1252,1,"NAmes","TA",1032,280,9600,220,"TA",1950,1,119000
"1137",6,1567,2,"Mitchel","TA",1567,1567,9819,0,"Gd",1977,2,196000
"1144",5,1576,1,"BrkSide","TA",1042,0,6240,534,"TA",1928,1,149000
"1145",6,1298,2,"SawyerW","Gd",1298,1258,11200,0,"Gd",1985,2,180000
"1148",7,1482,2,"OldTown","TA",832,624,9000,650,"TA",1920,1,143000
"1149",6,932,1,"NAmes","TA",932,0,8280,0,"Gd",1950,1,124000
"1150",5,1466,2,"Edwards","TA",1466,176,17755,0,"Fa",1959,1,149900
"1156",7,1314,2,"NridgHt","Gd",1314,904,5001,0,"Gd",2007,2,230000
"1161",5,894,2,"Sawyer","TA",894,492,8724,0,"TA",1968,1,129000
"1162",4,1258,2,"Sawyer","TA",1258,1198,12900,0,"TA",1969,0,108959
"1164",7,1502,2,"NridgHt","Gd",1502,0,9541,0,"Gd",2009,2,233170
"1167",6,2108,2,"Edwards","TA",1236,626,13728,872,"Gd",1935,2,235000
"1174",8,2872,2,"NoRidge","Gd",2129,700,10678,743,"Gd",1992,2,285000
"1177",5,1343,1,"Crawfor","TA",820,0,7681,523,"TA",1921,1,154900
"1178",5,1124,0,"Edwards","TA",1124,0,8335,0,"TA",1954,1,93000
"1183",5,1572,3,"Timber","TA",1572,1159,35133,0,"TA",1963,1,186700
"1190",8,1441,2,"Somerst","Gd",764,0,2645,677,"Gd",1999,2,174000
"1191",5,1472,1,"OldTown","TA",842,0,9600,630,"Gd",1925,1,125000
"1192",6,1224,2,"Mitchel","TA",1224,883,4500,0,"TA",1999,2,165000
"1193",6,1352,1,"Sawyer","TA",663,371,9364,689,"TA",1969,1,158000
"1196",7,1690,1,"OldTown","TA",815,0,8850,875,"TA",1916,1,144000
"1199",4,864,1,"NAmes","TA",864,0,9353,0,"TA",1970,1,116050
"1200",7,1779,2,"CollgCr","TA",866,0,10400,913,"Gd",1998,2,197900
"1208",8,1660,2,"Somerst","Gd",1660,1220,10182,0,"Gd",2006,2,290000
"1209",6,1845,2,"SawyerW","Gd",1055,0,11218,790,"Gd",1992,2,189000
"1219",5,912,1,"NAmes","TA",912,312,7800,0,"TA",1964,1,115000
"1222",5,2136,2,"NAmes","TA",2136,756,10680,0,"TA",1951,2,137900
"1223",7,1490,2,"Gilbert","Gd",788,724,15384,702,"Gd",2004,2,184000
"1228",5,1507,1,"NAmes","TA",1507,666,7910,0,"TA",1960,2,127000
"1229",5,2620,2,"Sawyer","TA",1361,498,18890,1259,"TA",1977,2,190000
"1233",5,1964,0,"SWISU","TA",1024,0,8525,940,"TA",1911,1,130000
"1234",5,1784,1,"Crawfor","TA",892,0,13132,892,"TA",1914,1,138887
"1237",6,1141,2,"SawyerW","Gd",1141,0,13072,0,"TA",2005,1,142500
"1240",7,1689,3,"Somerst","Gd",1689,0,9849,0,"Gd",2007,2,248328
"1243",8,1517,2,"Crawfor","TA",792,0,11435,725,"Gd",1929,1,230000
"1247",6,2058,2,"OldTown","TA",1134,319,9600,924,"TA",1917,1,129500
"1260",5,1050,1,"NAmes","TA",1050,504,9600,0,"TA",1956,1,128900
"1271",5,935,1,"Sawyer","TA",935,560,13526,0,"TA",1965,1,137000
"1275",6,1395,2,"NWAmes","TA",735,593,12936,660,"TA",1972,1,162000
"1280",7,1339,2,"Timber","TA",1339,1053,8049,0,"TA",1990,2,180000
"1286",5,1582,2,"ClearCr","TA",1582,812,36500,0,"TA",1964,2,190000
"1289",5,1152,2,"NAmes","TA",1152,1014,14112,0,"TA",1964,1,180500
"1290",5,1302,1,"BrDale","TA",630,231,1680,672,"TA",1972,2,119500
"1293",5,864,2,"Edwards","TA",864,167,8172,0,"TA",1955,1,115000
"1295",5,1128,2,"NAmes","TA",1128,776,8700,0,"TA",1963,2,155000
"1299",7,1983,2,"Gilbert","Gd",1005,694,10762,978,"Gd",1999,2,225000
"1300",6,1494,1,"Crawfor","TA",753,547,7500,741,"Gd",1942,1,177500
"1304",9,1652,2,"NridgHt","Gd",1652,1572,13173,0,"Ex",2006,2,325000
"1307",5,1122,2,"OldTown","TA",1122,144,12000,0,"Gd",1948,1,147000
"1308",6,1294,2,"SawyerW","TA",1294,1200,7153,0,"Gd",1991,2,179200
"1310",7,1274,2,"CollgCr","Gd",1274,925,8814,0,"Gd",2005,2,203000
"1317",8,1787,3,"CollgCr","Gd",1787,0,14781,0,"Gd",2001,2,275000
"1326",5,816,1,"Mitchel","Gd",816,641,6600,0,"Gd",1982,1,130500
"1327",6,2792,2,"OldTown","Gd",1584,493,10440,1208,"TA",1920,2,256000
"1333",5,1365,2,"BrDale","TA",765,765,2368,600,"TA",1970,1,125000
"1338",5,864,1,"CollgCr","TA",864,360,9560,0,"TA",1972,1,128500
"1341",8,2169,2,"CollgCr","Gd",1284,0,9375,885,"Gd",2002,2,228500
"1344",4,960,1,"OldTown","TA",960,250,6000,0,"Fa",1920,1,108500
"1348",8,2358,0,"OldTown","TA",938,259,5250,1215,"TA",1872,2,122000
"1349",5,2634,4,"NAmes","TA",1338,500,11643,1296,"TA",1969,2,200000
"1350",6,1716,2,"NAmes","TA",858,319,9247,858,"TA",1962,1,171000
"1353",7,1865,3,"CollgCr","Gd",992,735,10316,873,"Gd",2000,2,235000
"1354",7,1920,2,"NWAmes","TA",1222,0,10192,698,"Gd",1968,3,170000
"1355",5,892,1,"NAmes","TA",892,340,9477,0,"TA",1966,1,110000
"1356",5,1078,2,"NAmes","TA",1078,734,12537,0,"TA",1971,1,149900
"1364",7,1674,2,"Somerst","Gd",814,533,7500,860,"Gd",2000,2,216000
"1366",5,1475,1,"MeadowV","TA",925,548,2665,550,"TA",1977,2,127000
"1367",6,848,2,"CollgCr","Gd",848,685,4435,0,"Gd",2003,1,144000
"1368",8,1668,2,"CollgCr","Gd",1668,370,10635,0,"Gd",2003,2,232000
"1374",8,1571,3,"Timber","Gd",1571,0,10991,0,"Gd",2007,2,239000
"1379",3,864,1,"Edwards","TA",864,203,8212,0,"TA",1914,1,58500
"1382",5,1416,2,"Sawyer","TA",1416,0,25339,0,"Gd",1918,2,112000
"1385",7,2784,2,"NWAmes","TA",1392,790,16692,1392,"Gd",1978,3,250000
"1386",6,2526,1,"OldTown","TA",1664,168,8520,862,"Gd",1916,2,136000
"1389",7,1525,2,"CollgCr","Gd",1525,1400,9100,0,"Gd",2000,2,235000
"1393",7,1500,3,"Blmngtn","Gd",1500,1070,4045,0,"Gd",2006,2,246578
"1394",8,2482,3,"Timber","Gd",1133,0,12665,1349,"Gd",2005,2,281213
"1395",5,1687,2,"Timber","TA",1687,353,57200,0,"TA",1948,1,160000
"1397",5,1904,1,"NAmes","TA",1136,180,7200,768,"TA",1950,1,138000
"1398",6,1608,1,"SWISU","TA",1160,264,6171,448,"Gd",1925,2,137450
"1404",8,1646,2,"Crawfor","Gd",1646,1373,3842,0,"Gd",2004,2,275000
"1407",4,1363,2,"OldTown","TA",741,0,7740,622,"TA",1910,1,125500
"1412",8,1844,2,"SawyerW","Gd",1844,976,10994,0,"Gd",2005,2,257000
"1424",6,1252,2,"NAmes","Gd",1252,0,10721,0,"Gd",1959,1,142000
"1432",6,1792,2,"Gilbert","TA",962,0,10261,830,"TA",2000,2,186500
"1434",6,1537,2,"NAmes","Gd",1537,0,8400,0,"Gd",1962,1,174000
"1438",7,1725,2,"NWAmes","TA",1040,315,11584,685,"TA",1979,2,197000
"1441",10,2007,3,"Somerst","Ex",1026,765,11003,981,"Ex",2008,2,310000
"1446",8,2090,2,"CollgCr","Gd",1220,1079,10000,870,"Gd",1995,2,240000
"1447",4,1346,1,"Edwards","TA",796,0,11767,550,"TA",1910,1,112000
"1451",5,1072,2,"Edwards","TA",1072,547,3675,0,"TA",2005,1,145000
"1455",6,2073,2,"NWAmes","TA",2073,790,13175,0,"TA",1978,2,210000
"1456",7,2340,1,"Crawfor","Ex",1188,275,9042,1152,"Gd",1941,2,266500
"1458",5,1256,1,"Edwards","Gd",1256,830,9937,0,"TA",1965,1,147500
